Operation,Run,Time (seconds)
Decode,538,3.85ms
Decode,539,3.26ms
Decode,540,3.46ms
Decode,541,3.19ms
Decode,542,3.28ms
Decode,543,3.45ms
Decode,544,3.67ms
Decode,545,3.22ms
Decode,546,3.76ms
Decode,547,3.35ms
Decode,548,3.54ms
Decode,549,3.70ms
Decode,550,3.58ms
Decode,551,3.44ms
Decode,552,3.25ms
Decode,553,3.60ms
Decode,554,3.24ms
Decode,555,3.64ms
Decode,556,3.55ms
Decode,557,3.27ms
Decode,558,3.53ms
Decode,559,3.53ms
Decode,560,3.33ms
Decode,561,3.79ms
Decode,562,3.36ms
Decode,563,3.73ms
Decode,564,3.39ms
Decode,565,3.51ms
Decode,566,3.64ms
Decode,567,3.48ms
Decode,568,3.18ms
Decode,569,3.81ms
Decode,570,3.31ms
Decode,571,3.73ms
Decode,572,3.30ms
Decode,573,3.16ms
Decode,574,3.50ms
Decode,575,3.41ms
Decode,576,3.49ms
Decode,577,4.15ms
Decode,578,3.49ms
Decode,579,3.74ms
Decode,580,3.32ms
Decode,581,3.55ms
Decode,582,3.30ms
Decode,583,3.49ms
Decode,584,3.52ms
Decode,585,3.22ms
Decode,586,3.64ms
Decode,587,3.48ms
Decode,588,3.25ms
Decode,589,3.47ms
Decode,590,3.75ms
Decode,591,3.36ms
Decode,592,3.79ms
Decode,593,3.33ms
Decode,594,3.66ms
Decode,595,3.23ms
Decode,596,3.46ms
Decode,597,3.24ms
Decode,598,3.20ms
Decode,599,3.38ms
Decode,600,3.41ms
Decode,601,3.64ms
Decode,602,4.01ms
Decode,603,3.46ms
Decode,604,3.70ms
Decode,605,3.30ms
Decode,606,3.28ms
Decode,607,3.38ms
Decode,608,3.35ms
Decode,609,3.62ms
Decode,610,3.56ms
Decode,611,30.52ms
Decode,612,5.30ms
Decode,613,3.87ms
Decode,614,3.37ms
Decode,615,3.66ms
Decode,616,3.39ms
Decode,617,3.28ms
Decode,618,3.63ms
Decode,619,3.20ms
Decode,620,3.57ms
Decode,621,3.34ms
Decode,622,3.32ms
Decode,623,3.52ms
Decode,624,3.29ms
Decode,625,3.29ms
Decode,626,3.73ms
Decode,627,3.39ms
Decode,628,3.46ms
Decode,629,3.24ms
Decode,630,3.39ms
Decode,631,3.39ms
Decode,632,3.17ms
Decode,633,3.42ms
Decode,634,3.34ms
Decode,635,3.42ms
Decode,636,3.62ms
Decode,637,3.44ms
Decode,638,3.28ms
Decode,639,3.51ms
Decode,640,3.71ms
Decode,641,3.72ms
Decode,642,3.54ms
Decode,643,3.34ms
Decode,644,3.40ms
Decode,645,3.32ms
Decode,646,3.30ms
Decode,647,3.25ms
Decode,648,3.65ms
Decode,649,3.25ms
Decode,650,3.46ms
Decode,651,3.62ms
Decode,652,3.42ms
Decode,653,3.54ms
Decode,654,3.45ms
Decode,655,3.25ms
Decode,656,3.65ms
Decode,657,3.58ms
Decode,658,3.46ms
Decode,659,3.44ms
Decode,660,3.42ms
Decode,661,3.49ms
Decode,662,3.59ms
Decode,663,3.14ms
Decode,664,3.56ms
Decode,665,3.33ms
Decode,666,3.53ms
Decode,667,3.75ms
Decode,668,3.61ms
Decode,669,3.43ms
Decode,670,3.79ms
Decode,671,3.42ms
Decode,672,3.46ms
Decode,673,3.19ms
Decode,674,3.70ms
Decode,675,3.41ms
Decode,676,3.52ms
Decode,677,3.26ms
Decode,678,3.29ms
Decode,679,3.32ms
Decode,680,3.74ms
Decode,681,3.58ms
Decode,682,3.47ms
Decode,683,3.32ms
Decode,684,3.58ms
Decode,685,3.31ms
Decode,686,3.12ms
Decode,687,3.55ms
Decode,688,3.45ms
Decode,689,3.64ms
Decode,690,3.46ms
Decode,691,3.41ms
Decode,692,3.54ms
Decode,693,3.80ms
Decode,694,3.24ms
Decode,695,3.43ms
Decode,696,3.21ms
Decode,697,3.48ms
Decode,698,3.38ms
Decode,699,3.72ms
