Operation,Run,Time (seconds)
Decode,242,4.81ms
Encode,242,1.04ms
Decode,242,4.22ms
Decode,243,4.13ms
Encode,243,1.07ms
Decode,243,4.73ms
Decode,244,4.52ms
Encode,244,1.10ms
Decode,244,3.74ms
Decode,245,5.12ms
Encode,245,967.71µs
Decode,245,4.15ms
Decode,246,4.24ms
Encode,246,1.12ms
Decode,246,4.69ms
Decode,247,4.00ms
Encode,247,1.40ms
Decode,247,5.12ms
Decode,248,4.97ms
Encode,248,898.04µs
Decode,248,4.90ms
Decode,249,4.61ms
Encode,249,1.13ms
Decode,249,4.76ms
Decode,250,4.36ms
Encode,250,1.12ms
Decode,250,4.31ms
Decode,251,4.97ms
Encode,251,1.17ms
Decode,251,5.33ms
Decode,252,4.41ms
Encode,252,1.40ms
Decode,252,4.20ms
Decode,253,4.44ms
Encode,253,1.09ms
Decode,253,4.02ms
Decode,254,3.61ms
Encode,254,843.17µs
Decode,254,4.85ms
Decode,255,3.74ms
Encode,255,863.29µs
Decode,255,4.22ms
Decode,256,3.73ms
Encode,256,1.32ms
Decode,256,3.80ms
Decode,257,4.64ms
Encode,257,923.21µs
Decode,257,3.71ms
Decode,258,4.28ms
Encode,258,1.04ms
Decode,258,4.25ms
Decode,259,3.52ms
Encode,259,1.01ms
Decode,259,4.20ms
Decode,260,3.58ms
Encode,260,862.25µs
Decode,260,4.04ms
Decode,261,4.20ms
Encode,261,878.17µs
Decode,261,3.67ms
Decode,262,4.65ms
Encode,262,977.17µs
Decode,262,4.31ms
Decode,263,5.52ms
Encode,263,1.28ms
Decode,263,4.96ms
Decode,264,4.65ms
Encode,264,1.13ms
Decode,264,4.08ms
Decode,265,5.16ms
Encode,265,1.17ms
Decode,265,3.87ms
Decode,266,3.97ms
Encode,266,962.08µs
Decode,266,4.10ms
Decode,267,3.98ms
Encode,267,968.96µs
Decode,267,4.20ms
Decode,268,4.33ms
Encode,268,1.25ms
Decode,268,3.91ms
Decode,269,4.55ms
Encode,269,933.38µs
Decode,269,4.81ms
Decode,270,3.77ms
Encode,270,920.42µs
Decode,270,4.32ms
Decode,271,3.77ms
Encode,271,857.50µs
Decode,271,4.84ms
Decode,272,4.83ms
Encode,272,1.00ms
Decode,272,4.70ms
Decode,273,4.54ms
Encode,273,1.40ms
Decode,273,4.78ms
Decode,274,5.55ms
Encode,274,1.06ms
Decode,274,3.80ms
Decode,275,4.53ms
Encode,275,924.92µs
Decode,275,4.40ms
Decode,276,3.59ms
Encode,276,856.04µs
Decode,276,4.16ms
Decode,277,3.66ms
Encode,277,936.96µs
Decode,277,4.66ms
Decode,278,5.03ms
Encode,278,1.10ms
Decode,278,4.22ms
Decode,279,5.30ms
Encode,279,940.13µs
Decode,279,3.89ms
Decode,280,3.72ms
Encode,280,886.46µs
Decode,280,4.46ms
Decode,281,4.14ms
Encode,281,1.18ms
Decode,281,3.80ms
Decode,282,4.14ms
Encode,282,862.71µs
Decode,282,3.97ms
Decode,283,4.09ms
Encode,283,910.63µs
Decode,283,4.32ms
Decode,284,3.77ms
Encode,284,922.63µs
Decode,284,4.99ms
Decode,285,4.04ms
Encode,285,905.63µs
Decode,285,5.12ms
Decode,286,4.43ms
Encode,286,1.00ms
Decode,286,4.23ms
Decode,287,4.07ms
Encode,287,955.67µs
Decode,287,4.68ms
Decode,288,4.43ms
Encode,288,974.75µs
Decode,288,4.97ms
Decode,289,4.55ms
Encode,289,1.08ms
Decode,289,4.09ms
Decode,290,4.63ms
Encode,290,978.63µs
Decode,290,3.98ms
Decode,291,4.71ms
Encode,291,1.02ms
Decode,291,4.40ms
Decode,292,3.71ms
Encode,292,935.29µs
Decode,292,4.51ms
Decode,293,4.05ms
Encode,293,921.08µs
Decode,293,3.80ms
Decode,294,3.82ms
Encode,294,942.96µs
Decode,294,3.64ms
Decode,295,3.90ms
Encode,295,837.00µs
Decode,295,3.64ms
Decode,296,3.64ms
Encode,296,823.21µs
Decode,296,3.63ms
Decode,297,3.63ms
Encode,297,859.75µs
Decode,297,3.79ms
Decode,298,3.93ms
Encode,298,828.79µs
Decode,298,4.07ms
Decode,299,3.61ms
Encode,299,884.54µs
Decode,299,3.81ms
Decode,300,3.62ms
Encode,300,920.54µs
Decode,300,3.81ms
Decode,301,3.88ms
Encode,301,903.79µs
Decode,301,3.91ms
Decode,302,4.42ms
Encode,302,1.09ms
Decode,302,3.60ms
Decode,303,3.71ms
Encode,303,817.92µs
Decode,303,4.79ms
Decode,304,3.81ms
Encode,304,929.63µs
Decode,304,3.95ms
Decode,305,3.54ms
Encode,305,821.54µs
Decode,305,4.24ms
Decode,306,4.35ms
Encode,306,1.10ms
Decode,306,3.90ms
Decode,307,3.48ms
Encode,307,905.63µs
Decode,307,4.54ms
Decode,308,3.68ms
Encode,308,971.29µs
Decode,308,4.34ms
Decode,309,3.72ms
Encode,309,1.06ms
Decode,309,4.48ms
Decode,310,3.79ms
Encode,310,1.06ms
Decode,310,4.95ms
Decode,311,3.58ms
Encode,311,976.63µs
Decode,311,4.43ms
Decode,312,3.86ms
